id,secret_id,order,angle,text,trigger_kind
fake_sky_6,fake_sky,6,Runas por Trás do Firmamento,"Pouquíssimos cultivadores, à beira da morte durante uma iluminação, viram incontáveis linhas finas de runas atrás do céu. O sol, a lua e as estrelas eram apenas pontos de luz sobre essas linhas.",insight
mad_heavenly_dao_1,mad_heavenly_dao,1,Leis Distorcidas,"As leis do mundo às vezes se distorcem de maneira estranha. A mesma erva espiritual pode apresentar propriedades medicinais completamente opostas em dias diferentes.",region
mad_heavenly_dao_2,mad_heavenly_dao,2,O Grande Olho Pálido,"Os veneráveis acima do reino Tongxuan costumam compartilhar o mesmo pesadelo: um enorme olho pálido nas profundezas do firmamento, rindo e chorando sem parar.",insight
mad_heavenly_dao_3,mad_heavenly_dao,3,Relâmpagos de Tribulação Anormais,"No último século, os relâmpagos de tribulação se tornaram imprevisíveis: às vezes destroem a alma dos virtuosos, enquanto ocasionalmente refinam vilões em corpos sagrados.",city
mad_heavenly_dao_4,mad_heavenly_dao,4,Mensagens Celestes sem Sentido,"Documentos antigos de sacrifícios aos Céus registram respostas breves e solenes. As mensagens divinatórias modernas estão cheias de repetições, erros e balbucios sem sentido.",city
mad_heavenly_dao_5,mad_heavenly_dao,5,Carma Emaranhado,"Alguém usou uma arte secreta de carma para rastrear um inimigo, mas a pista deu uma volta e chegou a um ponto anterior ao seu próprio nascimento, como se os fios cármicos tivessem sido atados ao acaso.",insight
mad_heavenly_dao_6,mad_heavenly_dao,6,Estela da Doença dos Céus,"Uma estela antiga registra: 'Os Céus não estão mortos nem são malignos; estão doentes. O enfermo cria mundos enquanto sonha e os destrói ao despertar.'",region
simulated_world_code_1,simulated_world_code,1,Origens em Branco,"Cultivadores de origem desconhecida às vezes surgem de repente no mundo. Eles possuem identidades completas, mas ninguém se lembra de tê-los visto crescer.",city
simulated_world_code_2,simulated_world_code,2,Memórias Alteradas,"Cultivadores frequentemente percebem mudanças sutis nas próprias memórias: a técnica de ontem, o nome de alguém querido ou a história da seita já não são exatamente os mesmos.",insight
simulated_world_code_3,simulated_world_code,3,Céu e Terra Pausados,"Alguns moribundos afirmam ter visto o céu e a terra pararem: todos ficaram imóveis, enquanto incontáveis palavras minúsculas atravessavam o ar.",insight
simulated_world_code_4,simulated_world_code,4,Símbolos Anormais,"Ao tentar prever o destino, adivinhos às vezes recebem palavras que não pertencem a nenhum hexagrama, como 'nulo', 'tentar novamente', 'semente' ou 'estado inválido'.",city
simulated_world_code_5,simulated_world_code,5,Estranha Placa de Cristal,"Alguns tesouros espirituais não contêm núcleo de formação algum, apenas uma estranha placa de cristal coberta de pequenos quadrados e circuitos metálicos.",region
simulated_world_code_6,simulated_world_code,6,O Mundo Engasga,"Quando muitos acontecimentos importantes ocorrem no mesmo mês, o mundo engasga por um instante: pássaros param no ar e rios avançam quadro a quadro.",region
spiritual_qi_is_dead_memories_1,spiritual_qi_is_dead_memories,1,Choro nos Meridianos,"Durante o cultivo respiratório à meia-noite, alguns cultivadores ouvem desconhecidos chorando, rindo e gritando ao morrer, enquanto esses sons percorrem seus meridianos.",insight
spiritual_qi_is_dead_memories_2,spiritual_qi_is_dead_memories,2,O Qi dos Campos de Batalha Antigos,"Os campos de batalha antigos têm o qi espiritual mais abundante, embora não possuam veias espirituais: apenas os ossos de incontáveis mortais e cultivadores.",region
spiritual_qi_is_dead_memories_3,spiritual_qi_is_dead_memories,3,Memórias Estrangeiras,"Alguns cultivadores que avançam após um período de reclusão passam a conhecer dialetos, ofícios ou lembranças antigas que jamais aprenderam.",insight
spiritual_qi_is_dead_memories_4,spiritual_qi_is_dead_memories,4,Vultos nas Pedras Espirituais,"Quando pedras espirituais de alta pureza são refinadas, silhuetas humanas aparecem em seu interior, como muitos rostos comprimidos dentro de um único cristal.",city
spiritual_qi_is_dead_memories_5,spiritual_qi_is_dead_memories,5,A Purificação Provoca Esgotamento,"Quando uma terra proibida e assombrada é purificada por completo, o qi ao redor não se torna limpo; em vez disso, seca rapidamente.",region
spiritual_qi_is_dead_memories_6,spiritual_qi_is_dead_memories,6,Últimas Palavras de um Cultivador de Almas,"Um antigo cultivador de almas deixou estas palavras: 'Não pergunte de onde vem o qi. Cada respiração que você toma é a segunda morte de uma multidão.'",city
sects_on_colossal_corpses_1,sects_on_colossal_corpses,1,Estratos Minerais Brancos,"Nas profundezas sob muitas seitas existem camadas minerais brancas em forma de ossos, indestrutíveis e levemente aquecidas nas noites de luar.",region
sects_on_colossal_corpses_2,sects_on_colossal_corpses,2,Meridianos da Terra,"Quando os mapas das linhas ley são unidos, o desenho não lembra montanhas e rios, mas os meridianos e vasos sanguíneos de uma criatura imensa.",city
sects_on_colossal_corpses_3,sects_on_colossal_corpses,3,Nascentes Espirituais Vermelhas,"Algumas nascentes espirituais ocasionalmente ficam vermelhas e exalam um leve cheiro de sangue, mas aumentam muito a velocidade do cultivo.",region
sects_on_colossal_corpses_4,sects_on_colossal_corpses,4,O Batimento das Montanhas Imortais,"Livros antigos dizem: 'Montanhas imortais têm veias, e veias têm batimentos.' Comentários posteriores, porém, sempre explicam esses batimentos como marés de qi.",city
sects_on_colossal_corpses_5,sects_on_colossal_corpses,5,Respirações sob as Veias Seladas,"A cada poucos séculos, a grande formação de uma seita precisa 'selar a veia'; caso contrário, sons abafados de respiração sobem do subsolo.",insight
sects_on_colossal_corpses_6,sects_on_colossal_corpses,6,Órbita Ocular na Montanha,"Um saqueador de tumbas escavou uma enorme cavidade ocular dentro de uma montanha. A membrana restante da pupila refletia a localização de todas as seitas existentes.",region
reincarnation_is_copying_1,reincarnation_is_copying,1,Aura sem Alma,"Pessoas renascidas costumam guardar memórias de uma vida anterior, mas não possuem a aura da alma que deveria acompanhá-las, como um livro copiado em um novo volume.",city
reincarnation_is_copying_2,reincarnation_is_copying,2,Tiras de Jade do Submundo,"As ruínas do submundo não contêm passagem alguma para a reencarnação, apenas tiras de jade em branco gravadas com nomes, nascimentos, temperamentos e carmas.",region
reincarnation_is_copying_3,reincarnation_is_copying,3,Sombras de Alma Repetitivas,"A invocação de almas consegue chamar a 'sombra de uma vida passada', mas, quando questionada sobre algo que não foi registrado, ela passa a repetir as mesmas respostas.",insight
reincarnation_is_copying_4,reincarnation_is_copying,4,Três Pessoas em uma Vida,"Um cultivador encontrou três pessoas que afirmavam ter vivido a mesma vida anterior. Suas memórias eram diferentes e incompletas, mas todas passaram pela verificação celestial.",city
reincarnation_is_copying_5,reincarnation_is_copying,5,Anotações de um Cultivador do Submundo,"Um antigo cultivador do submundo escreveu: 'A reencarnação não é um rio, mas uma matriz de impressão. A alma não retorna; os caracteres são gravados outra vez.'",region
reincarnation_is_copying_6,reincarnation_is_copying,6,Últimas Palavras de um Recém-Nascido,"Certa vez, um recém-nascido pronunciou as últimas palavras de sua vida passada no mesmo instante em que a alma daquela pessoa ainda lamentava dentro da própria tumba.",insight
yao_are_previous_humans_1,yao_are_previous_humans,1,Antigos Ritos Humanos,"Os textos sacrificiais mais antigos dos yao não estão escritos na língua das feras, mas numa escrita humana ancestral danificada.",region
yao_are_previous_humans_2,yao_are_previous_humans,2,Marcas de Seita no Sangue,"No fundo de certas linhagens yao surgem marcas de seitas humanas, capazes até de abrir grutas humanas perdidas há muito tempo.",region
yao_are_previous_humans_3,yao_are_previous_humans,3,Meridianos Ancestrais,"Bebês humanos às vezes se transformam em yao, enquanto filhotes yao ocasionalmente nascem com estruturas de meridianos humanos.",city
yao_are_previous_humans_4,yao_are_previous_humans,4,Murais Ancestrais,"Em algumas terras ancestrais yao, os murais mostram antepassados sem forma de fera, vestidos como humanos antigos sob um céu que se partia.",region
yao_are_previous_humans_5,yao_are_previous_humans,5,Relatos da Calamidade Corporal,"Antes da 'Era do Caos Yao', os livros antigos não mencionam os yao. Falam apenas de termos vagos como 'grande migração', 'calamidade corporal' e 'refúgio da linhagem'.",city
yao_are_previous_humans_6,yao_are_previous_humans,6,Tira de Jade de um Santo Yao,"Entre os restos de um santo yao havia uma tira de jade cuja primeira linha dizia: 'Um dia fomos chamados de humanos; apenas sobrevivemos ao dia em que os Céus trocaram de pele.'",insight
realms_are_artificial_shackles_1,realms_are_artificial_shackles,1,Métodos Antigos,"Os primeiros métodos antigos não possuíam reinos fixos, apenas descrições contínuas como 'qi pleno', 'espírito luminoso', 'corpo transformado' e 'Dao integrado'.",city
realms_are_artificial_shackles_2,realms_are_artificial_shackles,2,Feras Espirituais Não Enfrentam Portões,"Os cultivadores modernos precisam superar gargalos ao avançar, mas feras espirituais selvagens raramente encontram barreiras semelhantes no mesmo nível de poder.",region
realms_are_artificial_shackles_3,realms_are_artificial_shackles,3,Relâmpagos Punem Quem Ignora os Reinos,"Certas artes antigas incompletas aumentam o poder sem passar pelos reinos, mas atraem relâmpagos de tribulação de maneira anormal, como se violassem uma proibição.",insight
realms_are_artificial_shackles_4,realms_are_artificial_shackles,4,O Molde do Núcleo Dourado,"Núcleos Dourados e Almas Nascentes são muito semelhantes mesmo quando vêm de métodos diferentes, como se todos fossem forçados a seguir o mesmo molde de regras.",city
realms_are_artificial_shackles_5,realms_are_artificial_shackles,5,Escadaria para Medir o Gado,"Uma velha estela diz: 'A escadaria não serve para subir aos Céus, mas para medir o gado.'",region
realms_are_artificial_shackles_6,realms_are_artificial_shackles,6,Selos de Permissão,"Um cultivador enxergou por um instante além da trava dos reinos e descobriu que seu cultivo não estava crescendo: era liberado aos poucos, por meio de selos de permissão.",insight
moon_is_an_eye_1,moon_is_an_eye,1,O Reflexo que Pisca,"Em noites de lua cheia, o reflexo da lua em certas águas pisca primeiro; só depois uma sombra tênue aparece sobre a lua verdadeira.",region
moon_is_an_eye_2,moon_is_an_eye,2,Marca da Pupila Prateada,"Métodos de cultivo sob o luar avançam depressa, mas aqueles que os dominam frequentemente desenvolvem uma marca de pupila prateada entre as sobrancelhas.",city
moon_is_an_eye_3,moon_is_an_eye,3,Examinados sobre a Mesa,"Quem contempla a lua por tempo demais sonha que foi colocado sobre uma mesa na escuridão infinita e está sendo examinado por um olhar gigantesco.",insight
moon_is_an_eye_4,moon_is_an_eye,4,O Olho Noturno Selado,"Mapas astronômicos antigos não mostram uma lua, apenas um 'Olho Noturno' selado por fios vermelhos.",city
moon_is_an_eye_5,moon_is_an_eye,5,Feras Yao Ajoelhadas,"Certas feras yao se ajoelham juntas durante a lua cheia, não para adorá-la, mas para evitar o olhar direto do luar.",region
moon_is_an_eye_6,moon_is_an_eye,6,Aviso sobre o Nome Verdadeiro,"Um fragmento vindo de além do céu traz um aviso: 'Não permita que isso se lembre do seu nome verdadeiro.'",insight
secret_realms_are_tumors_1,secret_realms_are_tumors,1,Regras Fora de Controle,"As regras dentro dos reinos secretos costumam diferir das externas: tempo, gravidade, vida e morte e atributos do qi parecem estar fora de controle apenas naquele lugar.",region
secret_realms_are_tumors_2,secret_realms_are_tumors,2,Entradas Deformadas,"Montanhas e rios perto das entradas de reinos secretos se deformam aos poucos: árvores criam ossos de fera, e pedras desenvolvem pulsação.",region
secret_realms_are_tumors_3,secret_realms_are_tumors,3,Contaminação por Tesouros,"Muitos tesouros trazidos de reinos secretos provocam o surgimento de pequenas zonas anormais no mundo exterior.",city
secret_realms_are_tumors_4,secret_realms_are_tumors,4,Diagnósticos dos Médicos Cultivadores,"Antigos médicos cultivadores comparavam o mundo a um gigante e chamavam os reinos secretos de 'nódulos', 'feridas malignas' e 'grutas celestiais apodrecidas'.",city
secret_realms_are_tumors_5,secret_realms_are_tumors,5,Membrana Ulcerada do Mundo,"Nas profundezas de alguns reinos secretos não há tesouro algum, apenas uma vasta membrana ulcerada do mundo, vazando qi espiritual lentamente.",region
secret_realms_are_tumors_6,secret_realms_are_tumors,6,Exploração e Infecção,"Quanto mais os cultivadores exploram os reinos secretos, mais frequentes se tornam as anomalias do mundo, como se suas lesões fossem abertas e infectadas repetidas vezes.",insight
dead_gods_answer_prayers_1,dead_gods_answer_prayers,1,Óleo Negro de Cadáver,"As estátuas dos templos às vezes escorrem um óleo negro de cadáver, que os fiéis confundem com um sinal divino.",city
dead_gods_answer_prayers_2,dead_gods_answer_prayers,2,Bênçãos Mecânicas,"As respostas de uma mesma divindade às preces se repetem mecanicamente. Não importa a era, o idioma ou a calamidade, a bênção quase nunca muda.",insight
dead_gods_answer_prayers_3,dead_gods_answer_prayers,3,Dedo Gigantesco Decepado,"Um dedo gigantesco foi encontrado nas profundezas de um antigo campo de batalha, coberto por padrões divinos idênticos aos de um deus justo venerado atualmente.",region
dead_gods_answer_prayers_4,dead_gods_answer_prayers,4,Palácio Celestial em Decomposição,"Onde as oferendas de incenso prosperam, as estátuas parecem mais vivas, mas os guardiões dos templos sonham com palácios celestiais apodrecidos com frequência cada vez maior.",city
dead_gods_answer_prayers_5,dead_gods_answer_prayers,5,Despertar os Restos Mortais,"Os textos rituais antigos não dizem 'convide o deus a descer', mas 'desperte os restos mortais por um instante'.",region
dead_gods_answer_prayers_6,dead_gods_answer_prayers,6,Montanhas de Cadáveres no Reino Divino,"Após ascender a um reino divino, um fiel devoto viu apenas montanhas intermináveis de cadáveres, cada corpo ainda atento às preces.",insight
